symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
OPUSDT,2025-12-31T06:15:00+00:00,0.2694,SHORT,2025-12-31T08:00:00+00:00,0.2705923163330847,SL,-1.0
TIAUSDT,2025-12-31T07:15:00+00:00,0.4613,SHORT,2025-12-31T10:00:00+00:00,0.4644759907480067,SL,-1.0
INJUSDT,2025-12-31T10:00:00+00:00,4.457,SHORT,2025-12-31T10:45:00+00:00,4.4085850007478005,TP2,2.0
AVAXUSDT,2025-12-31T19:30:00+00:00,12.326,SHORT,2025-12-31T20:00:00+00:00,12.255767257938532,TP2,2.0
NEARUSDT,2025-12-31T20:00:00+00:00,1.4813,SHORT,2025-12-31T20:30:00+00:00,1.493260599533343,SL,-1.0
APTUSDT,2025-12-31T21:15:00+00:00,1.659,SHORT,2025-12-31T21:30:00+00:00,1.6680637452553844,SL,-1.0
LINKUSDT,2025-12-31T22:30:00+00:00,12.252,SHORT,2026-01-01T05:15:00+00:00,12.252,TP1,0.75
ARBUSDT,2025-12-31T22:45:00+00:00,0.187,SHORT,2026-01-01T09:00:00+00:00,0.187,TP1,0.75
DOTUSDT,2025-12-31T23:45:00+00:00,1.7893,SHORT,2026-01-01T04:15:00+00:00,1.7676031888315071,TP2,2.0
SUIUSDT,2026-01-01T02:00:00+00:00,1.4057,SHORT,2026-01-01T05:30:00+00:00,1.4057,TP1,0.75
UNIUSDT,2026-01-01T06:45:00+00:00,5.651,SHORT,2026-01-01T08:00:00+00:00,5.651,TP1,0.75
TIAUSDT,2026-01-02T02:30:00+00:00,0.4961,LONG,2026-01-02T07:45:00+00:00,0.4961,TP1,0.75
APTUSDT,2026-01-02T06:00:00+00:00,1.857,LONG,2026-01-02T12:00:00+00:00,1.8376522220338778,SL,-1.0
DOGEUSDT,2026-01-02T06:00:00+00:00,0.12844,LONG,2026-01-02T07:30:00+00:00,0.12771956882047455,SL,-1.0
UNIUSDT,2026-01-02T08:15:00+00:00,5.748,SHORT,2026-01-02T09:00:00+00:00,5.782296833999062,SL,-1.0
ADAUSDT,2026-01-02T08:45:00+00:00,0.3573,LONG,2026-01-02T09:30:00+00:00,0.36213314002042807,TP2,2.0
LINKUSDT,2026-01-02T08:45:00+00:00,12.904,LONG,2026-01-02T09:30:00+00:00,13.048120701435636,TP2,2.0
NEARUSDT,2026-01-02T12:30:00+00:00,1.642,LONG,2026-01-02T14:15:00+00:00,1.6275163315417436,SL,-1.0
OPUSDT,2026-01-02T12:30:00+00:00,0.3005,LONG,2026-01-03T07:15:00+00:00,0.3005,TP1,0.75
DOTUSDT,2026-01-02T14:15:00+00:00,1.9976,LONG,2026-01-02T14:30:00+00:00,1.9823767821277833,SL,-1.0
LTCUSDT,2026-01-02T15:30:00+00:00,80.62,LONG,2026-01-03T02:45:00+00:00,82.71444506700635,TP2,2.0
SOLUSDT,2026-01-03T03:30:00+00:00,132.82,LONG,2026-01-03T04:30:00+00:00,132.19647580381132,SL,-1.0
APTUSDT,2026-01-03T06:00:00+00:00,1.907,LONG,2026-01-03T06:30:00+00:00,1.896679920873607,SL,-1.0
SUIUSDT,2026-01-03T08:30:00+00:00,1.6369,LONG,2026-01-04T03:00:00+00:00,1.6976734787616703,TP2,2.0
ATOMUSDT,2026-01-03T17:30:00+00:00,2.231,LONG,2026-01-03T18:00:00+00:00,2.214356195135746,SL,-1.0
ADAUSDT,2026-01-03T20:15:00+00:00,0.3867,LONG,2026-01-04T00:00:00+00:00,0.3912479543129882,TP2,2.0
OPUSDT,2026-01-04T01:30:00+00:00,0.3121,LONG,2026-01-04T07:15:00+00:00,0.3121,TP1,0.75
